Page,Section,Family,EnglishCommon,LatinSpecies,Length,Voice,Comments
94,Grouse,Tetraonidae,Willow Grouse,Lagopus lagopus,41,"When flushed, gives rapid laughing call.",
94,Grouse,Tetraonidae,Red Grouse,Lagopus lagopus scoticus,38,Voice like Willow Grouse's.,
94,Grouse,Tetraonidae,Ptarmigan,Lagopus mutus,36,"When flushed, utters peculiar, dry croaking, very different from Willow and Red Grouse.",
96,Grouse,Tetraonidae,Hazel Grouse,Bonasa bonasia,36,Call is repeated whistling.,
98,"Quails, partridges and pheasants",Phasianidae,Chukar,Alectoris chukar,33,Call is chicken-like.,
98,"Quails, partridges and pheasants",Phasianidae,Rock Patridge,Alectoris graeca,33,Call is characteristic three-note whistle.,
98,"Quails, partridges and pheasants",Phasianidae,Barbary Partridge,Alectoris barbara,33,Call consists of fast and slow cackling notes.,
98,"Quails, partridges and pheasants",Phasianidae,Red-legged Partridge,Alectoris rufa,34,"Has characteristic call with repeated first note, ""chuck, chuck-or"".",
98,"Quails, partridges and pheasants",Phasianidae,Partridge,Perdix perdix,30,"Rather silent, except during spring courtship, when cocks call ""chirrick, chirrick"". Also calls when flushed.",
100,"Quails, partridges and pheasants",Phasianidae,Pheasant,Phasianus colchicus,84,"The cock's loud, two-syllabled call is followed by the muffled sound of rapidly beating wings.",
100,"Quails, partridges and pheasants",Phasianidae,Quail,Coturnix coturnix,18,"Call can be heard day and night but most often at dusk. Consists of repetition of liquid, three-syllabled notes: *wet-my-lips* or ""quip-ip-ip"".",
100,Hemipodes,Turnicidae,Andalusian Hemipode,Turnix sylvatica,15,"Call is a characteristic resonant ""hoo-hoo-hoo"", heard particularly often on clear nights at dawn and dusk.",
102,Cranes,Gruidae,Crane,Grus grus,113,Call is trumpet-like. Voice deeper than Demoiselle Crane's.,
104,Bustards,Otididae,Great Bustard,Otis tarda,"M: 102, F: 81",Usually silent but has a gruff bark in breeding season.,
104,Bustards,Otididae,Little Bustard,Tetrax tetrax,43,"In the courtship display the male puffs up, raises his tail and occasionally leaps into the air and emits a sharp ""irr"" note.",
106,"Rails, gallinules and coots",Rallidae,Water Rail,Rallus aquaticus,28,"Has a large vocabulary of calls which are more penetrating than musical and are most often heard at night, or when birds are disturbed. These include various squeals, grunts, groans, and wails, which often are heard bursting from a dense reed bed at night. Also a sharp ""kik-kik-kik"", very similar to calls emitted by Little and Baillon's Crakes.",
106,"Rails, gallinules and coots",Rallidae,Spotted Crake,Porzana porzana,23,"Call is repetition of high-pitched, explosive short ""wheet"" notes, rather like the cracking of whip.",
106,"Rails, gallinules and coots",Rallidae,Baillon's Crake,Porzana pusilla,18,Call is an unmusical trill somewhat like that of the Garganey drake or Edible Frog.,
106,"Rails, gallinules and coots",Rallidae,Little Crake,Porzana parva,18,Usual call is a series of barking notes ending in a trill.,
106,"Rails, gallinules and coots",Rallidae,Corncrake,Crex crex,26,"Secretive, but call, which is a repeated ""crex-crex"", may be kept up for hours in the breeding season, most persistently at night.",note that the onomatopoeia is the latin name
108,"Rails, gallinules and coots",Rallidae,Purple Gallinule,Porphyrio porphyrio,48,Call is trumpet-like.,
108,"Rails, gallinules and coots",Rallidae,Moorhen,Gallinula chloropus,33,"Calls include a number of harsh, unmusical notes, the most common rendered ""creck"" and ""whittuck"".",
108,"Rails, gallinules and coots",Rallidae,Coot,Fulica atra,38,"Usual calls are loud ""kowk"" and a double ""ke-kowk"".",
108,"Rails, gallinules and coots",Rallidae,Crested Coot,Fulica cristata,41,"Call is of two syllables, distinctly different and deeper than call of Coot.",
112,Oystercatchers,Haematopodidae,Oystercatcher,Haematopus ostralegus,43,"Very noisy. Call is a shrill, loud ""bleep"". Song, heard on breeding ground only, is a high-pitched trill ascending in frequency and volume.",
112,Oystercatchers,?,Spur-winged Plover,Hoplopterus spinosus,28,"The call is a noisy ""zeet-zeet-zeet"".",
112,Oystercatchers,?,Lapwing,Vanellus vanellus,30,"The call is a nasal ""vee-veet"".",
112,Oystercatchers,?,White-tailed Plover,Chettusia leucura,28,"Call resembles Lapwings, but is lower pitched.",
112,Oystercatchers,?,Sociable Plover,Chettusia gregaria,30,The call is unlike that of Lapwing consisting of a short whistle and a harsh chatter.,
112,Oystercatchers,?,Ringed Plover,Charadrius hiaticula,18,"Call is a mellow ""choo-ee"".",
112,Oystercatchers,?,Little Ringed Plover,Charadrius dubius,15,"Call is a characteristic high-pitched, two-note whistle: ""pee-oo"".",
112,Oystercatchers,?,Kentish Plover,Charadrius alexandrinus,19,"Call is a low-pitched ""chu-uu-ee"".",
112,Oystercatchers,?,Killdeer,Charadrius vociferus,25,Call is loud and characteristic *kill-deer*.,
112,Oystercatchers,?,Grey Plover,Pluvialis squatarola,28,"Call is plaintive, slurred whistle ""whee-oo-ee"".",
112,Oystercatchers,?,Golden Plover,Pluvialis apricaria,28,"Call is a sad-sounding, melodious, single-note whistle ""whoo-ee"".",
112,Oystercatchers,?,Lesser Golden Plover,Pluvialis dominica,25,"Call is a clear, short, whistled ""oodle-oo"".",
112,Oystercatchers,?,Dotterel,Charadrius morinellus,23,Call is a soft trill.,
112,Oystercatchers,?,Turnstone,Arenaria interpres,23,"Call, one to eight fast, low, slurred, whickering notes.",
118,Snipes and woodcock,Charadriidae,Snipe,Gallinago gallinago,25,"Call is a low, rasping note. In display flight, produces strong vibrating sound wih outer tail-feathers, called 'drumming', as it dives repeatedly at great height.",
118,Snipes and woodcock,Charadriidae,Great Snipe,Gallinago media,28,"During display a twittering sound is produced, but also a characteristic accelerating clicking sound.",
118,Snipes and woodcock,Charadriidae,Jack Snipe,Lymnocryptes minimus,20,"During spectacular display flight, a call resembling the sound of a galloping horse is produced.",
118,Snipes and woodcock,Charadriidae,Woodcock,Scolopax rusticola,36,"In the breeding season the soft, croaking call, 'roding', of the displaying male is heard at dusk and early in the morning as the bird flies just above the trees.",
120,Curlews and godwits,Charadriidae,Curlew,Numenius arquata,56,"Usual call is a mellow whistle: ""curlee"".",
120,Curlews and godwits,Charadriidae,Whimbrel,Numenius phaeopus,41,"Call is a short, mellow whistle, repeated rapidly 6-7 times resembling the call of the female Cuckoo.",
120,Curlews and godwits,Charadriidae,Slender-billed Curlew,Numenius tenuirostris,41,Call resembles Curlew's but is higher pitched and shorter.,
120,Curlews and godwits,Charadriidae,Black-tailed Godwit,Limosa limosa,41,"Call is a loud ""wicka"" repeated three times.",
120,Curlews and godwits,Charadriidae,Bar-tailed Godwit,Limosa lapponica,38,"Call is a harsh, nasal two-note ""irrick"".",
122,Larger Sandpipers,Charadriidae,Common Sandpiper,Actitis hypoleucos,20,"Call is a shrill, piping, often rendered *kitty-wiper*.",
122,Larger Sandpipers,Charadriidae,Green Sandpiper,Tringa ochropus,23,"Call is a musical, penetrating three-note whistle: ""tit-looet"".",
122,Larger Sandpipers,Charadriidae,Wood Sandpiper,Tringa glareola,20,"Call is a high-pitched, three-note whistle: ""chip-ip-ip"".",
122,Larger Sandpipers,Charadriidae,Terek Sandpiper,Xenus cinereus,23,Call is a fast repetition of flute-like notes.,
124,Larger Sandpipers,Charadriidae,Redshank,Tringa totanus,28,"Call is a musical, three-note whistle: ""tew-hee-hee"". Alarm call is a loud rapid ""chip-chip-chip"".",
124,Larger Sandpipers,Charadriidae,Spotted Redshank,Tringa erythropus,30,"Call is a musical somewhat drawn-out whistle ""tew-it"".",
124,Larger Sandpipers,Charadriidae,Greenshank,Tringa nebularia,30,"Call is a three-note whistle: ""tu-tu-tu"", more melodious than that of Redshank.",
124,Larger Sandpipers,Charadriidae,Marsh Sandpiper,Tringa stagnatilis,23,Usual calls consist of a variety of rather mellow whistles and a twittering trill.,
124,Larger Sandpipers,Charadriidae,Ruff,Philomachus pugnax,"M: 30, F: 23","Call is a rather low, two-note whistle, seldom heard.",
126,Accidental larger sandpipers,Charadriidae,Spotted Sandpiper,Actitis macularia,20,"Call is ""weet-loo-eet"".",
126,Accidental larger sandpipers,Charadriidae,Solitary Sandpiper,Tringa solitaria,20,"Call is a shrill, high-pitched 2-3 note piping.",
126,Accidental larger sandpipers,Charadriidae,Stilt Sandpiper,Micropalma himantopus,20,"Call is a low, rather hoarse, single-note whistle.",
126,Accidental larger sandpipers,Charadriidae,Greater Yellowlegs,Tringa melanoleuca,36,"(...) characteristic sharp, 3-4 note whistle",
126,Accidental larger sandpipers,Charadriidae,Lesser Yellowlegs,Tringa flavipes,25,"Call is a soft, 1-3 note whistle.",
126,Accidental larger sandpipers,Charadriidae,Long-billed Dowitcher,Limnodromus scolopaceus,30,"Call is a single, thin, piping note, or a series of notes.",
126,Accidental larger sandpipers,Charadriidae,Short-billed Dowitcher,Limnodromus griseus,30,"Best distinguishing feature is the call, a low, mellow three-note whistle.",
126,Accidental larger sandpipers,Charadriidae,Upland Sandpiper,Bartramia longicauda,28,Call is a mellow Whimbrel-like whistle.,
128,Small sandpipers,Charadriidae,Knot,Calidris canutus,25,"Usual calls are single, rather quiet ""wut"" or a whistling ""thu-thu"".",
128,Small sandpipers,Charadriidae,Purple Sandpiper,Calidris maritima,20,"Call is a short ""wit"", sometimes repeated.",
128,Small sandpipers,Charadriidae,Dunlin,Calidris alpina,18,"Call is a rapid, low, grating reel.",
128,Small sandpipers,Charadriidae,Curlew Sandpiper,Calidris ferruginea,18,"Call is a soft whistle ""chirrup"".",
130,Small sandpipers,Charadriidae,Little Stint,Calidris minuta,13,"Call is a sharp, short, high-pitched note, quite distinct from the trill of Temminck's Stint.",
130,Small sandpipers,Charadriidae,Temminck's Stint,Calidris temminckii,13,"Call is a short, high-pitched trill, very different from the sharp, high-pitched note of the Little Stint.",
130,Small sandpipers,Charadriidae,Broad-billed Sandpiper,Limicola falcinellus,15,"Call is a rather deep trill, ""crrrooit"".",
130,Small sandpipers,Charadriidae,Sanderling,Calidris alba,20,"Flight call is a sharp, distinctive ""plick"".",
132,Accidental small sandpipers,Charadriidae,Least Sandpiper,Calidris minutilla,15,"Call is a distinctive high ""beep"".",
132,Accidental small sandpipers,Charadriidae,Semipalmated Sandpiper,Calidris pusilla,18,"Call, a short ""kripe"", is lower pitched than Least Sandpiper's.",
132,Accidental small sandpipers,Charadriidae,White-rumped Sandpiper,Calidris fuscicollis,18,"Call is a thin ""jeet"".",
132,Accidental small sandpipers,Charadriidae,Pectoral Sandpiper,Calidris melanotos,15,"Call is a low ""prrrp"".",
132,Accidental small sandpipers,Charadriidae,Sharp-tailed Sandpiper,Calidris acuminata,8,Call is a high-pitched 2-note whistle.,
132,Accidental small sandpipers,Charadriidae,Baird's Sandpiper,Calidris bairdii,18,"Call is a rather liquid ""keep"".",
132,Accidental small sandpipers,Charadriidae,Buff-breasted Sandpiper,Tryngites subruficollis,20,Call is a low trill.,
134,Avocets and stilts,Charadriidae,Avocet,Recurvirostra avosetta,43,"Call is soft, melodious ""klui-it"", hence Dutch name Kluut.",
134,Avocets and stilts,Charadriidae,Black-winged Stilt,Himantopus himantopus,38,"Call is a sharp, repeated ""kik"".",
134,Phalaropes,Charadriidae,Wilson's Phalarope,Phalaropus tricolor,23,Call is low and grunting.,
134,Phalaropes,Charadriidae,Grey Phalarope,Phalaropus fulicarius,18,Call suggest Turnstone's.,
134,Phalaropes,Charadriidae,Red-necked Phalarope,Phalaropus lobatus,17,"Call consists of low, short, scratchy notes.",
136,Thick-knees,Burhinidae,Stone-curlew,Burhinus oedicnemus,41,Call is Curlew-like but higher pitched.,
136,Pratincoles and coursers,Glareolidae,Collared Pratincole,Glareola pratincola,25,Call is tern-like.,
136,Pratincoles and coursers,Glareolidae,Black-winged Pratincole,Glareola nordmanni,25,NA,
136,Pratincoles and coursers,Glareolidae,Cream-coloured Courser,Cursorius cursor,23,Call is unmusical and harsh.,
142,Skuas,Stercorariidae,Ivory Gull,Pagophila eburnea,46,Call is tern-like.,
142,Skuas,Stercorariidae,Glaucous Gull,Larus hyperboreus,69,Call resembles that of Herring Gull.,
142,Skuas,Stercorariidae,Iceland Gull,Larus glaucoides,56,Call resembles that of Herring Gull.,
144,Skuas,Stercorariidae,Great Black-backed Gull,Larus marinus,69,"Call is low pitched ""kow-kow-kow"".",
144,Skuas,Stercorariidae,Lesser Black-backed Gull,Larus fuscus,53,"Call is loud, clear and bugle-like, only slightly deeper than that of Herring Gull.",
144,Skuas,Stercorariidae,Herring Gull,Larus argentatus,56,"Usual call is loud, clear and bugle-like.",
146,Skuas,Stercorariidae,Common Gull,Larus canus,41,Call is higher pitched than that of Herring Gulls.,
146,Skuas,Stercorariidae,Audouin's Gull,Larus audouinii,48,Call is harsh and weak.,
146,Skuas,Stercorariidae,Slender-billed Gull,Larus genei,43,Call is very nasal.,
146,Skuas,Stercorariidae,Kittiwake,Rissa tridactyla,41,"Call is a characteristic ""kittiwake"".",
148,Skuas,Stercorariidae,Mediterranean Gull,Larus melanocephalus,38,Call is lower pitched than that of Black-headed Gull.,
148,Skuas,Stercorariidae,Black-headed Gull,Larus ridibundus,36,"Call is a very harsh cackling ""kwuririp"".",
148,Skuas,Stercorariidae,Bonaparte's Gull,Larus philadelphia,33,Call is a low quacking.,
150,Skuas,Stercorariidae,Great Black-headed Gull,Larus ichthyaetus,64,Call is harsh and crow-like.,
150,Skuas,Stercorariidae,Little Gull,Larus minutus,28,"The call: ""kek-kek-kek"".",
150,Skuas,Stercorariidae,Sabine's Gull,Larus sabini,33,Call is harsh and tern-like.,
150,Skuas,Stercorariidae,Ross's Gull,Rhodostethia rosea,30,"Call is more melodious and higher pitcher than most gulls. Also variable. Typical is ""klaw"" or a repeated ""a-wo"".",
154,Terns,Laridae,Black Tern,Chlidonias niger,24,Call is nasal.,
154,Terns,Laridae,Whiskered Tern,Chlidonias leucoptera,24,Call is harsher and consists of two syllables.,means harsher than Black and White-winged Black Tern 
154,Terns,Laridae,Sooty Tern,Sterna fuscata,41,"Call is a nasal ""wide-a-wake"".",
156,Terns,Laridae,Gull-billed Tern,Gelochelidon nilotica,38,"Nasal 2-3 syllable call is characteristic, ""za-za-sa"", quite different from Sandwich Tern's call.",
156,Terns,Laridae,Sandwich Tern,Sterna sandvicensis,41,"Call is a loud, grating ""karrik"". Very noisy.",
156,Terns,Laridae,Caspian Tern,Sterna caspia,54,"Call is a very deep and characteristic ""caw-caw-cah"".",
158,Terns,Laridae,Common Tern,Sterna hirundo,36,"Call is a harsh ""kee-urr"".",
158,Terns,Laridae,Arctic Tern,Sterna paradisaea,38,"Calls are like those of Common Tern, but more nasal and rasping.",
158,Terns,Laridae,Roseate Tern,Sterna dougallii,38,"Calls are distinctive: a soft ""chivy"" and a less frequent rasping ""z-a-a-p"".",
158,Terns,Laridae,Little Tern,Sterna albifrons,23,Call is a rapid series of paired notes.,
162,Auks,Alcidae,Little Auk,Alle alle,20,"Call, which is only heard on the breeding grounds, is a high-pitched chattering.",
162,Auks,Alcidae,Black Guillemot,Cepphus grylle,33,"In spring quite often heard giving its characteristic, high-pitched twittering ""vee-bee"" calls when red gape shows quite conspicuously.",
162,Auks,Alcidae,Puffin,Fratercula arctica,30,"Call, heard on the breeding grounds only, consists of unmusical guttural notes.",
164,Sandgrouse,Pteroclidae,Black-bellied Sandgrouse,Pterocles orientalis,36,"Call is a deep ""djur-djur-djur"".",
164,Sandgrouse,Pteroclidae,Pin-tailed Sandgrouse,Pterocles alchat,33,"In flight, which is fast, the characteristic far-reaching call ""catar, catar"" is often given.",
164,Sandgrouse,Pteroclidae,Pallas's Sandgrouse,Syrrhaptes paradoxus,38,"Usually encountered in flocks, which are noisy. Call consists of two or three notes.",
166,Pigeons and doves,Columbidae,Rock Dove,Columba livia,33,Call is similar to that of the domestic pigeon.,
166,Pigeons and doves,Columbidae,Stock Dove,Columba oenas,33,"Cooing is a monotonous, coughing ""oo-hoo-hoo"", more similar to that of Rock Dove than Wood Pigeon.",
166,Pigeons and doves,Columbidae,Woodpigeon,Columba palumbus,41,"Cooing consists of five syllables, emphasis on the first.",
168,Pigeons and doves,Columbidae,Turtle Dove,Streptopelia turtur,28,Song is a soft purring coo.,
168,Pigeons and doves,Columbidae,Collared Dove,Streptopelia decaocto,28,The cooing is characteristic: three syllables with emphasis on the second syllable.,
168,Pigeons and doves,Columbidae,Laughing Dove,Streptopelia senegalensis,26,"Cooing is rapid and distinctive, almost resembling call of Cuckoo.",
170,Cuckoos,Cuculidae,Cuckoo,Cuculus canorus,33,"Repeated ""cuckoo"" song of male is diagnostic; female has babbling call.",
170,Cuckoos,Cuculidae,Oriental Cuckoo,Cuculus saturatus,30,"Call is distinctly different from that of Cuckoo, consisting of four syllables rather than two.",
170,Cuckoos,Cuculidae,Great Spotted Cuckoo,Clamator glandarius,41,"Call is rasping, almost tern-like.",
170,Cuckoos,Cuculidae,Yellow-billed Cuckoo,Coccyzus americanus,30,Call is guttural and toneless.,
170,Cuckoos,Cuculidae,Black-billed Cuckoo,Coccyzus erytropthalmus,30,Call consists of three or four coos.,
172,Owls,Tytonidae,Scops Owl,Otus scops,20,"Call is a monotonously repeated ""piuww"", usually heard at night, occasionally during the day.",
172,Owls,Tytonidae,Pygmy Owl,Glaucidium passerinum,18,"Call is a monotonous repetition of soft whistles. In autumn a series of shrill, rising call notes may be heard.",
172,Owls,Tytonidae,Little Owl,Athene noctua,23,Calls are shrill and sharp.,
172,Owls,Tytonidae,Tengmalm's Owl,Aegolius funereus,26,Call is a fast series of 7-8 whistles rising slightly at the end. 12-15 groups per minute.,
174,Owls,Tytonidae,Eagle Owl,Bubo bubo,69,"Call is a far-ranging, deep ""boo-hu"".",
174,Owls,Tytonidae,Snowy Owl,Nyctea scandiaca,61,On breeding grounds a 2-note crow is occasionally heard; otherwise silent.,
174,Owls,Tytonidae,Great Grey Owl,Strix nebulosa,69,"Call is deep, booming series of ""whoos"", each lower in pitch than preceding one.",
174,Owls,Tytonidae,Ural Owl,Strix uralensis,61,"Call is divided into two parts (like Tawny Owl): a deep bisyllabic ""huh-ow"", then a four second pause followed by five deep, stammering notes, ""hoh-hu ho-hoohu"". Alternative call is a rapid series of 6-8 deep ""hooings"".",
176,Owls,Tytonidae,Long-eared Owl,Asio otus,36,"Generally silent except near nest, where it makes various low hoots, whistles and shrieks.",
176,Owls,Tytonidae,Short-eared Owl,Asio flammeus,38,"Usually silent. Territory call is a fast series of deep ""po"" sounds; also wings are clapped in the air.",
176,Owls,Tytonidae,Tawny Owl,Strix aluco,38,"Another common call is a rather shrill ""kuvvitt"".",
176,Owls,Tytonidae,Barn Owl,Tyto alba,36,"Does not hoot, but has a soft, ascending, wheezy cry and a shriek. At the nest it gives a toneless hiss, compared to human snoring.",
176,Owls,Tytonidae,Hawk Owl,Surnia ulula,38,"Territory call is a hurried, vibrating, deep bubbling sound; also a hawk-like, ""ki-ki-ki..."".",
178,Nightjars,Caprimulgidae,Nightjar,Caprimulgus europaeus,28,"Song, which is given at dusk and at night in spring and summer, is an unmistakable churring trill which often leads to the detection of this bird. It is very different from the ""cutek"" note of the Red-necked Nightjar.",
178,Nightjars,Caprimulgidae,Red-necked Nightjar,Caprimulgus ruficollis,30,"Song, distinctly different from that of Nightjar, is fast repetition of ""plumek"" notes.",
178,Nightjars,Caprimulgidae,Egyptian Nightjar,Caprimulgus aegyptius,26,Churring song resembles that of Nightjar.,
180,Swifts,Apodidae,Swift,Apus apus,17,Call is shrill and screaming.,
180,Swifts,Apodidae,Pallid Swift,Apus pallidus,15,Call is like that of Swift.,
180,Swifts,Apodidae,Alpine Swift,Apus melba,20,"Call is distinctly different from Swift's, consisting of a loud, descending and ascending trill.",
