PageNumber,EnglishCommon,LatinSpecies,Length,Voice,Comment
91,Buff-barred Warbler,Pylloscopus pulcher,12,"The call is a fine ""zip"" followed by a fast shrill trill.",
91,Grey-headed Canary-flycatcher,Culicicapa ceylonensis,13,"Noisy, with regular chatter of sweet whistled *silly billy* and sharp, clear trilling and twittering.",
92,Small Niltava,Niltava macgrigoriae,14,Call is a clear whistle of three or four notes.,
93,Fujian Niltava,Niltava davidi,18,"Call is thin, high-pitched ""twee-twee-ee-twee"", with second note highest.",
93,White-tailed Flycatcher,Cyornis concretus,15,"Song is loud three-note whistle, *where are you*, with second note highest.",
94,Verditer Flycatcher,Eumyias thalassinus,17,Call is a loud sweet warble.,
95,Asian Brown Flycatcher,Muscicapa dauurica,13,Call is a soft chatter.,
96,Rufous-gorgeted Flycatcher,Ficedula strophiata,14,"The usual call is a high-pitched, repeated ""pink""; also gives low churring.",
97,Streak-breasted Scimitar-babbler,Pomatorhinus ruficollis,22,"Call is a loud three-noted hoot, with last note lowest.",
97,Spot-breasted Scimitar-Babbler,Pomatrhinus erythrocnemis,27,"(...) has a loud, three-noted call with the last note being the highest.",
98,Eyebrowed Wren-babbler,Napothera epilepidota,10,"Calls include loud treble chatter, chuckling call and occasional sharp notes.",
98,Golden Babbler,Stachyris chrysaea,12,"The song is a low-pitched whistle, ""sweep-sweep-sweep-sweep"", with emphasis on first note; also rising sibilant call, ""tzu-tzu-tzu"", and excited chattering.",
99,Grey-throated Babbler,Stachyris nigriceps,13,"Voice is a churring and clear ""prrreee-prrreee"" call.",
99,Spot-necked Babbler,Stachyris striolata,16,Call is a loud clear note.,
100,Striped Tit-babbler,Macronous gularis,13,"The calls include chittering, churring, and a resonant series of ""choonk"" notes at about three per second.",
100,Bearded Tit,Panurus biarmicus,17,"Call is a twanging lively ""pching"" or twittering song.",
101,Spot-breasted Parrotbill,Paradoxornis guttaticollis,19,"Voice is a rapid loud mellow whistle of eight to ten notes on the same pitch, also group chittering.",
101,Vinous-throated Parrotbill,Suthora webbianus,12,Call is tiny continuous twittering.,
102,Golden Parrotbill,Suthora verreauxi,10,Call is plaintive bleats and churring notes.,
102,Chinese Babax,Babax lanceolatus,28,"Call is a loud creaky wailing ""ou-phee-ou-phee"", repeated several times.",
103,Masked Laughingthrush,Garrulax perspicillatus,30,"Groups maintain chattering calls, but also have various laughing calls and loud piercing contact note, ""piew piew piew"".",
103,White-throated Laughingthrush,Garrulax albogularis,28,Calls include group mutterings and harsh chorus.,
104,White-crested Laughingthrush,Garrulax leucolophus,30,"Lives in noisy groups which give loud maniacal cackling chorus, as well as various clear whistles and chatters.",
104,Greater Necklaced Laughingthrush,Garrulax pectoralis,30,"Calls include squeaky contact notes, bursts of group laughter and short whistles.",
105,Black-throated Laughingthrush,Dryonastes chinensis,23,It has a cackling group alarm call (...),
105,Yellow-throated Laughingthrush,Dryonastes galbanus,23,Calls less strident than most other laughingthrushes and include feeble chirps.,
106,Spotted Laughingthrush,Ianthocincla ocellata,31,Call is a clear whistled song and harsh grating chorus.,
107,Rusty Laughingthrush,Garrulax poecilorhynchus,28,The call is a clear loud whistle.,
107,Spot-breasted Laughingthrush,Stactocichla merulina,24,The species' song is even more melodious than that of the famous hwamei and sounds similar to the European Blackbird's (hence scientific name).,
108,White-browed Laughingthrush,Pterorhinus sannio,25,Has various ringing and buzzing calls and discordant group cackling.,
109,Scaly Laughingthrush,Trochalopteron subunicolor,23,"The call is a loud, clear four-note whistle.",
109,Black-faced Laughingthrush,Trochalopteron affine,26,The call is a monotonous loud three-noted *to-wee-you*. Groups also give whirring alarm calls and emit constant harsh scolding notes (...),
111,Crimson-faced Liocichla,Liocichla hoenicaea,23,"The call is a loud musical ""chi-chweeew"" or ""tu-reew-ri""; also makes low churring notes (...)",
111,Omeishan Liocichla,Liocichla omeiensis,21,The bird gives clear loud calls.,
112,Silver-eared Mesia,Mesia argentauris,18,A noisy flocking bird which gives a variety of loud descending whistles and rattling calls.,
112,Red-billed Leiothrix,Leiothrix lutea,15,Lives in noisy chattering flocks (...),
113,Spectacled Barwing,Actinodura ramsayi,21,"Call is a loud but mournful ""tu-tui-tui-tui-tuuui"", rising then falling in pitch.",
113,Streaked Barwing,Actinodura souliei,23,Voice is soft contact calls or harsh loud churring alarm notes.,
114,Blue-winged Siva,Siva cyanouroptera,16,"Call is a loud, long two-note whistle, *see-saw*, repeated endlessly, rising in pitch at end of call.",
114,Chestnut-tailed Minla,Minla strigula,16,"Voice is a slurred whistle, ""chu-u-wee, chu-u-wee"", with second note falling, otherwise on rising pitch.",
115,Red-tailed Minla,Minla ignotincta,14,Has loud plaintive call of three or four notes.,
115,Grey-cheeked Fulvetta,Alcippe morrisonia,14,Call is an agitated churring (...),
116,Black-headed Sibia,Malacias desgodinsi,22,Call is five-note song with three notes on same pitch and last two lower.,
116,White-eared Sibia,Malacias auricularis,23,"Call is resonant repeated ""fei fei fei..."", rising at the end, or rattling ""de de de de"".",
117,Long-tailed Sibia,Heterophasia picaoides,30,"It has a loud, clear ringing call.",
117,Striated Yuhina,Staphida castaniceps,13,"Voice is continuous ""ser-weet ser-weet"".",
118,Stripe-throated Yuhina,Yuhina gularis,15,The call is a distinct nasal mewing.,
118,Rufous-vented Yuhina,Yuhina occipitalis,13,Gives a short buzzing call note.,
119,Black-chinned Yuhina,Yuhina nigrimenta,12,Emits constant squeaky chatter.,
119,Black-throated Tit,Aegithalos concinnus,10,"Call is very shrill ""tweet tweet"" and low churring notes.",
120,Long-tailed Tit,Aegithalos caudatus,16,"The call is a thin metallic trill ""seehwiwiwiwi"". Birds also give dry churring calls and a high-pitched ""seeh-seeh-seeh"" (...)",
121,Great Tit,Parus major,14,"Calls very variable and loud, including characteristic three-note ""tee tee tu"" with the stressed last note dipping and rising again.",
121,Eurasian Nuthatch,Sitta europaea,13,"Gives loud sharp ""seet, seet"" calls, scolding ""twet-twet, twet"" and musical whistled song.",
122,Common Treepcreeper,Certhia familiaris,14,"Call is loud ""cheet cheet"".",
122,Fire-tailed Sunbird,Aethopyga ignicauda,20,"The call is a quiet shrill note, ""shweet"".",
123,Streaked Spiderhunter,Arachnothera magna,19,"(...) noisy chases, giving a characteristic sharp ""cheet"" call (...)",
124,Black-naped Oriole,Oriolus chinensis,26,"The call is a clear, fluty ""we-weeleow"" and harsh nasal mewing.",
125,Black-hooded Oriole,Oriolus xanthornus,21,"The call is similar to that of Black-naped Oriole, a three- or four-noted ""tu-hu-a-yu"".",
125,Long-tailed Shrike,Lanius schach,25,(...) to scold with harsh strident calls.,
126,Grey-backed Shrike,Lanius tephronotus,23,"(...) screeching, strident calls are similar to those of the Long-tailed Shrike (...)",
126,Hair-crested Drongo,Dicrurus hottentotus,32,Voice consists of harsh grating and scolding and loud metallic 'creaking-gate' calls.,
127,Greater Racket-tailed Drongo,Dicrurus paradiseus,46,Calls include a wide range of loud clear whistles and a musical song with harsh grating notes.,
127,Eurasian Jay,Garrulus glandarius,35,"The call is a harsh shout, ""ksher"", or plaintive mewing.",
128,Red-billed Blue Magpie,Urocissa erythrorhyncha,68,Birds give harsh screeched contact calls plus a wide range of other calls and whistles.,
128,Azure-winged Magpie,Cyanopica cyanus,35,"Call is a harsh rolling ""zhruee"" or clear ""kwee"".",
129,Rufous Treepie,Dendrocitta vagabunda,44,"Call is raucous ringing ""bo-a-link"".",
129,Ratchet-tailed Treepie,Temnurus temnurus,30,The species makes an amazing range of extraordinary cranking and honking calls and whistles.,
130,Eurasian Magpie,Pica pica,45,Call is a rolling harsh cackle.,
130,Red-billed Chough,Pyrrhocorax pyrrhocorax,43,"Call is a harsh sharp ""kee-ach"".",
131,House Crow,Corvus splendens,42,"The call is a high-pitched rasping ""ka"" or lower-pitched ""kowk"".",
131,Carrion Crow,Corvus corone,46,"The call is a harsh croaking ""kraa"".",
132,Large-billed Crow,Corvus japonensis,54,"The call is a harsh throaty ""kwaa"".",
132,White-shouldered Starling,Sturnus sinensis,20,Call is shrill chatter (...),
133,Common Starling,Sturnus vulgaris,20,The calls are harsh screeches and whistles.,
133,Asian Pied Starling,Gracupica contra,24,Call is harsh screeches and whistles.,
134,Black-collared Starling,Gracupica nigricollis,28,Call is harsh screeches and whistles.,
134,Common Myna,Acridotheres tristis,25,"Voice is harsh screeches, whistles and liquid gurgling notes.",
135,Crested Myna,Acridotheres cristatellus,26,Voice is loud and variable; it is a good mimic of other birds and can be taught to talk.,
135,Common Hill-myna,Gracula religiosa,30,"Call a very loud, piercing ""tiong"" and whistles; often mimics other birds calls.",
136,Russet Sparrow,Passer rutilans,14,"Calls include a single ""cheep"", rapid ""chit-chit-chit"" or repeated song, ""cheep-chirrup-cheweep"".",
136,Eurasian Tree-sparrow,Passer montanus,14,"The call is a chirpy hard ""cheep cheep"" (...)",
137,Grey-capped Greenfinch,Carduelis sinica,13,"Flight call is twittering ""dzidzi-i-dzi-i"". Song is like that of European Greenfinch.",
137,Plain Mountain-Finch,Leucosticte nemoricola,15,"Voice is soft ""chi-chi-chi-chi"", or song of ""dui-dip-dip-dip"".",
138,White-browed Rosefinch,Carpodacus thura,17,"The calls include loud sharp whistles, rapid piping and sharp buzzing ""deep-deep, deep-de-de-de"".",
138,White-winged Grosbeak,Mycerobas carnipes,23,"Call is loud nasal ""schwenk"" or longer ""un di di di dit"" song.",
139,Crested Bunting,Emberiza lathami,16,"The call is quite loud ""pit-pit""; also has sweet song.",
